Entry,Entry name,Status,Protein names,Gene names,Organism,Virus hosts,Pathway
P0C6Y2,R1AB_IBVBC,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p68); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14) (p58); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p39); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16) (p35)],rep 1a-1b,Avian infectious bronchitis virus (strain Beaudette CK) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
P0C6V0,R1A_CVMA5,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.69) (PL1-PRO/PL2-PRO) (PL1/PL2) (Papain-like proteinases 1/2) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); Non-structural protein 11 (nsp11)],1a,Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6V1,R1A_CVMJH,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.69) (PL1-PRO/PL2-PRO) (PL1/PL2) (Papain-like proteinases 1/2) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); Non-structural protein 11 (nsp11)],1a,Murine coronavirus (strain JHM) (MHV-JHM) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6U9,R1A_CVM2,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.69) (PL1-PRO/PL2-PRO) (PL1/PL2) (Papain-like proteinases 1/2) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); Non-structural protein 11 (nsp11)],1a,Murine coronavirus (strain 2) (MHV-2) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6V6,R1A_PEDV7,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); Non-structural protein 11 (nsp11)],1a,Porcine epidemic diarrhea virus (strain CV777) (PEDV),Sus scrofa (Pig) [TaxID: 9823],
P0C6V3,R1A_IBVB,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); Non-structural protein 11 (nsp11)],1a,Avian infectious bronchitis virus (strain Beaudette) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
P0C6V4,R1A_IBVBC,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); Non-structural protein 11 (nsp11)],1a,Avian infectious bronchitis virus (strain Beaudette CK) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
P0C6V5,R1A_IBVM,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); Non-structural protein 11 (nsp11)],1a,Avian infectious bronchitis virus (strain M41) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
P22432,SPIKE_CVM4,reviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S 3,Murine coronavirus (strain 4) (MHV-4) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6Y5,R1AB_CVPPU,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p66) (p66-HEL); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p41); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16)],rep 1a-1b,Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV),Sus scrofa (Pig) [TaxID: 9823],
Q98VG9,R1AB_FIPV,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1); Non-structural protein 2 (nsp2); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10); Non-structural protein 11 (nsp11); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16)],rep 1a-1b,Feline coronavirus (strain FIPV WSU-79/1146) (FCoV),Felidae (cat family) [TaxID: 9681],
P31614,HEMA_CVMS,reviewed,Hemagglutinin-esterase (HE protein) (EC 3.1.1.53) (E3 glycoprotein),HE 2b,Murine coronavirus (strain S) (MHV-S) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6V2,R1A_CVPPU,reviewed,Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); Non-structural protein 11 (nsp11)],1a,Porcine transmissible gastroenteritis coronavirus (strain Purdue) (TGEV),Sus scrofa (Pig) [TaxID: 9823],
P0C6V8,R1AB_BRV1,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO); Non-structural protein 2 (nsp2); 3C-like serine proteinase (3CLSP) (EC 3.4.21.-) (M-PRO) (nsp3) (p27); Non-structural protein 4 (nsp4); Non-structural protein 5 (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp10) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp11) (p67); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp12); Non-structural protein 13 (nsp13); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp14); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp15)],rep 1a-1b,Breda virus 1 (BRV-1),Bos taurus (Bovine) [TaxID: 9913],
P11225,SPIKE_CVMJH,reviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S 3,Murine coronavirus (strain JHM) (MHV-JHM) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
Q9J3N8,VME1_IBVDE,reviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Avian infectious bronchitis virus (strain DE072) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
D0R1D1,D0R1D1_9GAMC,unreviewed,Spike 1 protein (Fragment),S1,Infectious bronchitis virus,,
A0A2Z4BYW1,A0A2Z4BYW1_9GAMC,unreviewed,S1 (Fragment),,Infectious bronchitis virus,,
B6V8H7,B6V8H7_9GAMC,unreviewed,S1 glycoprotein (Fragment),,Infectious bronchitis virus,,
I6RGM6,I6RGM6_9GAMC,unreviewed,S1 protein (Fragment),S1,Infectious bronchitis virus,,
A0A3G6IUE6,A0A3G6IUE6_9GAMC,unreviewed,Spike glycoprotein (Fragment),S1,Infectious bronchitis virus,,
A0A0B5G0Z9,A0A0B5G0Z9_9GAMC,unreviewed,Spike glycoprotein (Fragment),S1,Infectious bronchitis virus,,
A0A3S7EC37,A0A3S7EC37_9GAMC,unreviewed,Spike glycoprotein S1 subunit (Fragment),S,Infectious bronchitis virus,,
A0A2Z4BYU1,A0A2Z4BYU1_9GAMC,unreviewed,S1 (Fragment),,Infectious bronchitis virus,,
A0A1X9Y2N7,A0A1X9Y2N7_9GAMC,unreviewed,5a protein,5a,Infectious bronchitis virus,,
A0A1V0G342,A0A1V0G342_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
C6KCY0,C6KCY0_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
K4L7I1,K4L7I1_9GAMC,unreviewed,Spike glycoprotein (Fragment),S1,Infectious bronchitis virus,,
E0ZR66,E0ZR66_9GAMC,unreviewed,Spike glycoprotein (Fragment),S,Infectious bronchitis virus,,
A0A0D4CFG1,A0A0D4CFG1_9GAMC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Infectious bronchitis virus,,
Q52H05,Q52H05_9GAMC,unreviewed,Nucleoprotein,N,Infectious bronchitis virus,,
I6RL20,I6RL20_9GAMC,unreviewed,S1 protein (Fragment),S1,Infectious bronchitis virus,,
A0A1Q1NHR2,A0A1Q1NHR2_9GAMC,unreviewed,Spike protein (Fragment),S1,Infectious bronchitis virus,,
E5D087,E5D087_9GAMC,unreviewed,Polyprotein 1ab,,Infectious bronchitis virus,,
A0A4Y6GM85,A0A4Y6GM85_9ALPC,unreviewed,Envelope small membrane protein (E protein) (sM protein),E,Coronavirus BtRs-AlphaCoV/YN2018,,
A0A139ZAZ9,A0A139ZAZ9_9GAMC,unreviewed,Glycoprotein S1 subunit (Fragment),spike,Infectious bronchitis virus,,
A0A0S0VK53,A0A0S0VK53_9GAMC,unreviewed,Spike glycoprotein (Fragment),S1,Infectious bronchitis virus,,
M4VNZ4,M4VNZ4_9GAMC,unreviewed,S1 protein (Fragment),S1,Infectious bronchitis virus,,
C7S857,C7S857_9GAMC,unreviewed,ORF1ab polyprotein,1,Infectious bronchitis virus,,
D3JNF9,D3JNF9_9GAMC,unreviewed,Spike glycoprotein S1 (Fragment),,Infectious bronchitis virus,,
C1IZZ6,C1IZZ6_9GAMC,unreviewed,Spike glycoprotein (Fragment),S1,Infectious bronchitis virus,,
C7EDA4,C7EDA4_9GAMC,unreviewed,S1 glycoprotein (Fragment),,Infectious bronchitis virus,,
E1AB19,E1AB19_9GAMC,unreviewed,S1 spike glycoprotein (Fragment),,Infectious bronchitis virus,,
A0A1V0G3C3,A0A1V0G3C3_9GAMC,unreviewed,ORF1ab,1ab,Infectious bronchitis virus,,
A0A1L1XH12,A0A1L1XH12_9GAMC,unreviewed,Spike glycoprotein (Fragment),S1,Infectious bronchitis virus,,
A0A0D4CFB0,A0A0D4CFB0_9GAMC,unreviewed,Envelope small membrane protein (E protein) (sM protein),3c E,Infectious bronchitis virus,,
A0A3G1DHS4,A0A3G1DHS4_9GAMC,unreviewed,S1 protein (Fragment),S1,Infectious bronchitis virus,,
A0A516UWK3,A0A516UWK3_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
A0A3G4RMA4,A0A3G4RMA4_9GAMC,unreviewed,Spike protein (Fragment),,Infectious bronchitis virus,,
G4RJ96,G4RJ96_9GAMC,unreviewed,Membrane protein (M protein) (E1 glycoprotein) (Matrix glycoprotein) (Membrane glycoprotein),M,Infectious bronchitis virus,,
A0A386BX27,A0A386BX27_9GAMC,unreviewed,Spike (Fragment),,Infectious bronchitis virus,,
A0A4Y5SXU2,A0A4Y5SXU2_9GAMC,unreviewed,Envelope small membrane protein (E protein) (sM protein),3c E,Infectious bronchitis virus,,
M9YTB1,M9YTB1_9GAMC,unreviewed,Spike glycoprotein (Fragment),S1,Infectious bronchitis virus,,
Q9IH13,Q9IH13_9GAMC,unreviewed,"Spike glycoprotein, S2 subunit (Fragment)",S,Infectious bronchitis virus,,
A0A068F0T3,A0A068F0T3_9GAMC,unreviewed,S1 glycoprotein (Fragment),S1,Infectious bronchitis virus,,
A0A1P8FCE6,A0A1P8FCE6_9GAMC,unreviewed,ORF5a,5a,Infectious bronchitis virus,,
E9KKB8,E9KKB8_9GAMC,unreviewed,S1 glycoprotein (Fragment),,Infectious bronchitis virus,,
Q5Q1B9,Q5Q1B9_9GAMC,unreviewed,S1 surface glycoprotein (Fragment),,Infectious bronchitis virus,,
D3Y276,D3Y276_9GAMC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Infectious bronchitis virus,,
A0A3G2LCB0,A0A3G2LCB0_9GAMC,unreviewed,Spike protein (Fragment),S1,Infectious bronchitis virus,,
A0A3G2LCE5,A0A3G2LCE5_9GAMC,unreviewed,Spike protein (Fragment),S1,Infectious bronchitis virus,,
A0A1P8SSS0,A0A1P8SSS0_9GAMC,unreviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S,Infectious bronchitis virus,,
A0A386BX07,A0A386BX07_9GAMC,unreviewed,Spike (Fragment),,Infectious bronchitis virus,,
A0A1L5JFQ5,A0A1L5JFQ5_9GAMC,unreviewed,Spike glycoprotein (Fragment),,Infectious bronchitis virus,,
